country,state,state_name,year,month,sentiment,Total,Negative,Neutral,Positive,LDA,NMF,LDA_0,LDA_1,LDA_2,LDA_3,LDA_4,LDA_5,LDA_6,LDA_7,LDA_8,LDA_9,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,words,freq
USA,NM,New Mexico,2020,01,0.22785493827160494,18,1.0,4.0,13.0,8,1,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,6.0,3.0,1.0,4.0,0.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,['kid' 'like' 'make' 'news' 'week' 'work' 'yes' 'choice' 'city' 'friend'],[3 3 3 3 3 3 3 2 2 2]
USA,NM,New Mexico,2020,02,0.014954048322950761,82,19.0,40.0,23.0,8,1,5.0,8.0,8.0,1.0,0.0,12.0,4.0,3.0,38.0,3.0,4.0,22.0,2.0,6.0,14.0,10.0,8.0,9.0,5.0,2.0,"['people' 'beer' 'drinking' 'american' 'really' 'time' 'trump' 'china'
 'drink' 'oh']",[15 10  8  7  7  7  6  5  5  5]
USA,NM,New Mexico,2020,03,0.013922821461883965,592,155.0,244.0,193.0,8,4,81.0,70.0,28.0,35.0,8.0,33.0,49.0,24.0,164.0,100.0,111.0,59.0,64.0,31.0,145.0,24.0,44.0,33.0,41.0,40.0,"['people' 'new' 'like' 'need' 'home' 'know' 'stay' 'trump' 'pandemic'
 'got']",[67 43 42 33 29 25 24 22 21 20]
USA,NM,New Mexico,2020,04,0.05921208357135228,777,159.0,315.0,303.0,8,4,124.0,36.0,62.0,53.0,14.0,45.0,70.0,48.0,200.0,125.0,197.0,19.0,56.0,39.0,243.0,37.0,45.0,43.0,55.0,43.0,"['new' 'people' 'realdonaldtrump' 'death' 'time' 'trump' 'like' 'need'
 'know' 'home']",[53 50 45 42 39 37 35 32 31 30]
USA,NM,New Mexico,2020,05,0.0472071450601985,262,56.0,105.0,101.0,8,4,41.0,6.0,18.0,13.0,4.0,21.0,32.0,8.0,66.0,53.0,60.0,11.0,14.0,8.0,86.0,19.0,16.0,17.0,19.0,12.0,"['new' 'people' 'death' 'number' 'realdonaldtrump' 'week' 'like' 'think'
 'trump' 'stay']",[30 19 17 17 15 13 12 12 12 11]
USA,NV,Nevada,2020,01,0.04286157024793388,110,25.0,51.0,34.0,1,1,22.0,31.0,3.0,0.0,6.0,3.0,1.0,9.0,20.0,15.0,4.0,41.0,14.0,4.0,15.0,5.0,10.0,3.0,7.0,7.0,"['wuhan' 'day' 'people' 'china' 'case' 'information' 'like' 'million'
 'flu' 'new']",[20 11 10  9  7  7  6  6  5  5]
USA,NV,Nevada,2020,02,0.018116190386410973,272,66.0,120.0,86.0,8,1,35.0,58.0,10.0,4.0,9.0,13.0,25.0,20.0,81.0,17.0,30.0,84.0,31.0,12.0,36.0,11.0,30.0,9.0,13.0,16.0,['people' 'wuhan' 'china' 'got' 'don' 'think' 'beer' 'flu' 'case' 'death'],[38 38 29 19 18 17 15 15 14 14]
USA,NV,Nevada,2020,03,0.04718099419701936,1930,444.0,788.0,698.0,8,4,272.0,205.0,111.0,118.0,41.0,106.0,166.0,94.0,586.0,231.0,309.0,246.0,264.0,95.0,464.0,121.0,116.0,81.0,112.0,122.0,['people' 'like' 'know' 'time' 'need' 'trump' 'don' 'stay' 'work' 'day'],[155 107  94  89  73  73  69  68  65  61]
USA,NV,Nevada,2020,04,0.04925224685452848,2463,584.0,938.0,941.0,8,4,362.0,173.0,179.0,165.0,58.0,167.0,196.0,120.0,700.0,343.0,448.0,107.0,302.0,109.0,721.0,120.0,168.0,158.0,166.0,164.0,"['people' 'trump' 'like' 'time' 'know' 'pandemic' 'going' 'need' 'home'
 'death']",[223 150 128 113 104 100  98  97  85  81]
USA,NV,Nevada,2020,05,0.04733359088667782,774,175.0,309.0,290.0,8,4,142.0,45.0,36.0,73.0,35.0,40.0,65.0,40.0,208.0,90.0,171.0,27.0,106.0,29.0,220.0,36.0,48.0,46.0,42.0,49.0,"['people' 'trump' 'think' 'home' 'know' 'time' 'pandemic' 'like' 'death'
 'good']",[66 50 34 33 32 32 30 29 28 27]
